Home Team,Away Team,Reason,Score,URL,UTC Time
"{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}","{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}",FT,2 - 1,/match/839852/matchfacts/stoke-city-vs-aston-villa,2010-09-13T17:00:00.000Z
"{'name': 'Stoke City', 'shortName': 'Stoke', 'id': '10194'}","{'name': 'West Ham United', 'shortName': 'West Ham', 'id': '8654'}",FT,1 - 1,/match/839861/matchfacts/stoke-city-vs-west-ham-united,2010-09-18T09:45:00.000Z
"{'name': 'Aston Villa', 'shortName': 'Aston Villa', 'id': '10252'}","{'name': 'Bolton Wanderers', 'shortName': 'Bolton', 'id': '8559'}",FT,1 - 1,/match/839857/matchfacts/aston-villa-vs-bolton-wanderers,2010-09-18T12:00:00.000Z
"{'name': 'Blackburn Rovers', 'shortName': 'Blackburn', 'id': '8655'}","{'name': 'Fulham', 'shortName': 'Fulham', 'id': '9879'}",FT,1 - 1,/match/839859/matchfacts/blackburn-rovers-vs-fulham,2010-09-18T12:00:00.000Z
"{'name': 'Everton', 'shortName': 'Everton', 'id': '8668'}","{'name': 'Newcastle United', 'shortName': 'Newcastle', 'id': '10261'}",FT,0 - 1,/match/839858/matchfacts/everton-vs-newcastle-united,2010-09-18T12:00:00.000Z
"{'name': 'Tottenham Hotspur', 'shortName': 'Tottenham', 'id': '8586'}","{'name': 'Wolverhampton Wanderers', 'shortName': 'Wolves', 'id': '8602'}",FT,3 - 1,/match/839856/matchfacts/tottenham-hotspur-vs-wolverhampton-wanderers,2010-09-18T12:00:00.000Z
"{'name': 'West Bromwich Albion', 'shortName': 'West Brom', 'id': '8659'}","{'name': 'Birmingham City', 'shortName': 'Birmingham', 'id': '8658'}",FT,3 - 1,/match/839860/matchfacts/west-bromwich-albion-vs-birmingham-city,2010-09-18T12:00:00.000Z
"{'name': 'Sunderland', 'shortName': 'Sunderland', 'id': '8472'}","{'name': 'Arsenal', 'shortName': 'Arsenal', 'id': '9825'}",FT,1 - 1,/match/839855/matchfacts/sunderland-vs-arsenal,2010-09-18T14:30:00.000Z
"{'name': 'Manchester United', 'shortName': 'Man United', 'id': '10260'}","{'name': 'Liverpool', 'shortName': 'Liverpool', 'id': '8650'}",FT,3 - 2,/match/839854/matchfacts/manchester-united-vs-liverpool,2010-09-19T10:30:00.000Z
"{'name': 'Wigan Athletic', 'shortName': 'Wigan', 'id': '8528'}","{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}",FT,0 - 2,/match/839862/matchfacts/wigan-athletic-vs-manchester-city,2010-09-19T12:00:00.000Z
"{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}","{'name': 'Blackpool', 'shortName': 'Blackpool', 'id': '8483'}",FT,4 - 0,/match/839863/matchfacts/chelsea-vs-blackpool,2010-09-19T13:00:00.000Z
"{'name': 'Manchester City', 'shortName': 'Man City', 'id': '8456'}","{'name': 'Chelsea', 'shortName': 'Chelsea', 'id': '8455'}",FT,1 - 0,/match/839868/matchfacts/manchester-city-vs-chelsea,2010-09-25T09:45:00.000Z
