,0
1100,840132
1101,Stoke City
1102,Stoke
1103,10194
1104,839993
1105,Chelsea
1106,Chelsea
1107,8455
1108,840142
1109,Birmingham City
1110,Birmingham
1111,8658
1112,840135
1113,Arsenal
1114,Arsenal
1115,9825
1116,840143
1117,Bolton Wanderers
1118,Bolton
1119,8559
1120,840141
1121,Fulham
1122,Fulham
1123,9879
1124,840138
1125,Newcastle United
1126,Newcastle
1127,10261
1128,840137
1129,West Ham United
1130,West Ham
1131,8654
1132,840139
1133,Manchester City
1134,Man City
1135,8456
1136,840136
1137,Liverpool
1138,Liverpool
1139,8650
1140,840140
1141,Wolverhampton Wanderers
1142,Wolves
1143,8602
1144,840144
1145,Blackpool
1146,Blackpool
1147,8483
1148,839997
1149,Everton
1150,Everton
1151,8668
1152,840147
1153,Tottenham Hotspur
1154,Tottenham
1155,8586
1156,840148
1157,Aston Villa
1158,Aston Villa
1159,10252
1160,840150
1161,Blackburn Rovers
1162,Blackburn
1163,8655
1164,840145
1165,Manchester United
1166,Man United
1167,10260
1168,840152
1169,Stoke City
1170,Stoke
1171,10194
1172,840151
1173,West Bromwich Albion
1174,West Brom
1175,8659
1176,840153
1177,Wigan Athletic
1178,Wigan
1179,8528
1180,840149
1181,Everton
1182,Everton
1183,8668
1184,840146
1185,Sunderland
1186,Sunderland
1187,8472
1188,840154
1189,Chelsea
1190,Chelsea
1191,8455
1192,840156
1193,West Ham United
1194,West Ham
1195,8654
1196,840161
1197,Birmingham City
1198,Birmingham
1199,8658
1200,840157
1201,Everton
1202,Everton
1203,8668
1204,840158
1205,Newcastle United
1206,Newcastle
1207,10261
1208,840163
1209,Stoke City
1210,Stoke
1211,10194
1212,840162
1213,West Bromwich Albion
1214,West Brom
1215,8659
1216,840164
1217,Wigan Athletic
1218,Wigan
1219,8528
1220,840155
1221,Arsenal
1222,Arsenal
1223,9825
1224,840160
1225,Fulham
1226,Fulham
1227,9879
1228,840159
1229,Manchester City
1230,Man City
1231,8456
1232,840170
1233,Wolverhampton Wanderers
1234,Wolves
1235,8602
1236,840171
1237,Blackburn Rovers
1238,Blackburn
1239,8655
1240,840172
1241,Bolton Wanderers
1242,Bolton
1243,8559
1244,840174
1245,Chelsea
1246,Chelsea
1247,8455
1248,840165
1249,Manchester United
1250,Man United
1251,10260
1252,840167
1253,Sunderland
1254,Sunderland
1255,8472
1256,840168
1257,Tottenham Hotspur
1258,Tottenham
1259,8586
1260,840173
1261,Blackpool
1262,Blackpool
1263,8483
1264,840169
1265,Aston Villa
1266,Aston Villa
1267,10252
1268,840166
1269,Liverpool
1270,Liverpool
1271,8650
1272,840181
1273,Birmingham City
1274,Birmingham
1275,8658
1276,839798
1277,Blackpool
1278,Blackpool
1279,8483
1280,840177
1281,Everton
1282,Everton
1283,8668
1284,840182
1285,West Bromwich Albion
1286,West Brom
1287,8659
1288,840176
1289,West Ham United
1290,West Ham
1291,8654
1292,840175
1293,Arsenal
1294,Arsenal
1295,9825
1296,840178
1297,Newcastle United
1298,Newcastle
1299,10261
1300,840134
1301,Chelsea
1302,Chelsea
1303,8455
1304,840125
1305,Tottenham Hotspur
1306,Tottenham
1307,8586
1308,840185
1309,Manchester United
1310,Man United
1311,10260
1312,840189
1313,Aston Villa
1314,Aston Villa
1315,10252
1316,840193
1317,Blackpool
1318,Blackpool
1319,8483
1320,840186
1321,Liverpool
1322,Liverpool
1323,8650
1324,840187
1325,Sunderland
1326,Sunderland
1327,8472
1328,840188
1329,Tottenham Hotspur
1330,Tottenham
1331,8586
1332,840190
1333,Wolverhampton Wanderers
1334,Wolves
1335,8602
1336,840194
1337,Chelsea
1338,Chelsea
1339,8455
1340,840192
1341,Bolton Wanderers
1342,Bolton
1343,8559
1344,840191
1345,Blackburn Rovers
1346,Blackburn
1347,8655
1348,840183
1349,Stoke City
1350,Stoke
1351,10194
1352,840180
1353,Fulham
1354,Fulham
1355,9879
1356,840199
1357,Blackburn Rovers
1358,Blackburn
1359,8655
1360,840202
1361,Blackpool
1362,Blackpool
1363,8483
1364,840197
1365,Sunderland
1366,Sunderland
1367,8472
