,0,1,2,3,4,5,6,7,8,9,10
63,Tottenham Hotspur,Tottenham,8586,Aston Villa,Aston Villa,10252,FT,02-Jan,/match/839876/matchfacts/tottenham-hotspur-vs-aston-villa,839876,2010-10-02T12:00:00.000Z
64,West Bromwich Albion,West Brom,8659,Bolton Wanderers,Bolton,8559,FT,01-Jan,/match/839880/matchfacts/west-bromwich-albion-vs-bolton-wanderers,839880,2010-10-02T12:00:00.000Z
65,West Ham United,West Ham,8654,Fulham,Fulham,9879,FT,01-Jan,/match/839877/matchfacts/west-ham-united-vs-fulham,839877,2010-10-02T12:00:00.000Z
66,Sunderland,Sunderland,8472,Manchester United,Man United,10260,FT,0 - 0,/match/839875/matchfacts/sunderland-vs-manchester-united,839875,2010-10-02T12:15:00.000Z
67,Manchester City,Man City,8456,Newcastle United,Newcastle,10261,FT,02-Jan,/match/839878/matchfacts/manchester-city-vs-newcastle-united,839878,2010-10-03T10:30:00.000Z
68,Liverpool,Liverpool,8650,Blackpool,Blackpool,8483,FT,01-Feb,/match/839874/matchfacts/liverpool-vs-blackpool,839874,2010-10-03T12:00:00.000Z
69,Chelsea,Chelsea,8455,Arsenal,Arsenal,9825,FT,2 - 0,/match/839883/matchfacts/chelsea-vs-arsenal,839883,2010-10-03T13:00:00.000Z
70,Arsenal,Arsenal,9825,Birmingham City,Birmingham,8658,FT,02-Jan,/match/839885/matchfacts/arsenal-vs-birmingham-city,839885,2010-10-16T12:00:00.000Z
71,Bolton Wanderers,Bolton,8559,Stoke City,Stoke,10194,FT,02-Jan,/match/839892/matchfacts/bolton-wanderers-vs-stoke-city,839892,2010-10-16T12:00:00.000Z
72,Fulham,Fulham,9879,Tottenham Hotspur,Tottenham,8586,FT,01-Feb,/match/839891/matchfacts/fulham-vs-tottenham-hotspur,839891,2010-10-16T12:00:00.000Z
73,Manchester United,Man United,10260,West Bromwich Albion,West Brom,8659,FT,02-Feb,/match/839884/matchfacts/manchester-united-vs-west-bromwich-albion,839884,2010-10-16T12:00:00.000Z
74,Newcastle United,Newcastle,10261,Wigan Athletic,Wigan,8528,FT,02-Feb,/match/839888/matchfacts/newcastle-united-vs-wigan-athletic,839888,2010-10-16T12:00:00.000Z
75,Wolverhampton Wanderers,Wolves,8602,West Ham United,West Ham,8654,FT,01-Jan,/match/839889/matchfacts/wolverhampton-wanderers-vs-west-ham-united,839889,2010-10-16T12:00:00.000Z
76,Aston Villa,Aston Villa,10252,Chelsea,Chelsea,8455,FT,0 - 0,/match/839886/matchfacts/aston-villa-vs-chelsea,839886,2010-10-16T14:30:00.000Z
77,Everton,Everton,8668,Liverpool,Liverpool,8650,FT,2 - 0,/match/839887/matchfacts/everton-vs-liverpool,839887,2010-10-17T10:30:00.000Z
78,Blackpool,Blackpool,8483,Manchester City,Man City,8456,FT,02-Mar,/match/839893/matchfacts/blackpool-vs-manchester-city,839893,2010-10-17T13:00:00.000Z
79,Blackburn Rovers,Blackburn,8655,Sunderland,Sunderland,8472,FT,0 - 0,/match/839890/matchfacts/blackburn-rovers-vs-sunderland,839890,2010-10-18T17:00:00.000Z
80,Tottenham Hotspur,Tottenham,8586,Everton,Everton,8668,FT,01-Jan,/match/839896/matchfacts/tottenham-hotspur-vs-everton,839896,2010-10-23T09:45:00.000Z
81,Birmingham City,Birmingham,8658,Blackpool,Blackpool,8483,FT,2 - 0,/match/839899/matchfacts/birmingham-city-vs-blackpool,839899,2010-10-23T12:00:00.000Z
82,Chelsea,Chelsea,8455,Wolverhampton Wanderers,Wolves,8602,FT,2 - 0,/match/839903/matchfacts/chelsea-vs-wolverhampton-wanderers,839903,2010-10-23T12:00:00.000Z
83,Sunderland,Sunderland,8472,Aston Villa,Aston Villa,10252,FT,1 - 0,/match/839895/matchfacts/sunderland-vs-aston-villa,839895,2010-10-23T12:00:00.000Z
84,West Bromwich Albion,West Brom,8659,Fulham,Fulham,9879,FT,02-Jan,/match/839900/matchfacts/west-bromwich-albion-vs-fulham,839900,2010-10-23T12:00:00.000Z
85,Wigan Athletic,Wigan,8528,Bolton Wanderers,Bolton,8559,FT,01-Jan,/match/839902/matchfacts/wigan-athletic-vs-bolton-wanderers,839902,2010-10-23T12:00:00.000Z
86,West Ham United,West Ham,8654,Newcastle United,Newcastle,10261,FT,01-Feb,/match/839897/matchfacts/west-ham-united-vs-newcastle-united,839897,2010-10-23T14:30:00.000Z
87,Stoke City,Stoke,10194,Manchester United,Man United,10260,FT,01-Feb,/match/839901/matchfacts/stoke-city-vs-manchester-united,839901,2010-10-24T10:30:00.000Z
